1;Название статьи;Индустриальная политика: Сотрудничество России и Белоруссии.;;;;;;;;;;;;
;Автор;Сухарев;Тематика;Экономическая политика;;;;;;;;;;
;Кандидаты;;;Оценка;;;;;;;;;;
;Иванова;0.009627238;60.24545691;*;11;;;;;;;Russian1 @10;0.84 (0.91);
;Ковтун;0.003730084;23.34216766;7;10;;;;;;;Russian1 @5;0.76;
;Вайсблат;0.00289995;18.14734686;4;9;;;3.518835616;Средняя оценка;;;Russian1 @3;0.58;
;Коршунов;0.002806948;17.56535439;0;8;;;;;;;Russian1 @1;0.20;
;Смельцова;0.002484472;15.54736216;6;7;;;;;;;;;
;Романова;0.002388934;14.94950118;*;6;;;;;;;;;
;Лапидус;0.002356313;14.74536568;5;5;;;;;;;;;
;Михеева;0.002308688;14.44733796;7;4;;;;;;"* - не найдено сотрудника на сайте или его статей; на сайте указано несколько сотрудников с этой фамилией";;;
;Ошарина;0.002118522;13.25731677;*;3;;;;;;;;;
;Ошарин;0.002076504;12.99437347;6;2;;;;;;;;;
;Баринова;0.001838005;11.50189418;0;1;;;;;;;;;
;;;;;;;;;;;;;;
2;Название статьи;США vs Россия: Новая холодная война;;;;;;;;;;;;
;Автор;Дашичев;Тематика;Политика/Внешняя политика;;;;;;;;;;
;Кандидаты;;;;;;;;;;;;;
;Шинкаренко;0.007749547;48.49521853;0;11;;;;;;;;;
;Колданов;0.007321724;45.81798293;0;10;;;;;;;;;
;Миркин;0.007239629;45.30424568;0;9;;;;;;;;;
;Пишина;0.00625436;39.13861752;3;8;;;;;;;;;
;Едронова;0.005023607;31.43679639;*;7;;;;;;;;;
;Хасянова;0.004295901;26.88294651;1;6;;;;;;;;;
;Царьков;0.003266175;20.43911203;7;5;;;;;;;;;
;Сибирцева;0.002791163;17.46657706;1;4;;;;;;;;;
;Баранов;0.00267644;16.74866522;*;3;;;;;;;;;
;Голованова;0.002642806;16.538184;8;2;;;;;;;;;
;Радина;0.002535267;15.86522985;8;1;;;;;;;;;
;;;;;;;;;;;;;;
3;Название статьи;Корпоративное взаимодействие в целях модернизации. Россия ? Украина ? ЕС.;;;;;;;;;;;;
;Автор;Хейфец;Тематика;Международная политика/Экономика/Менеджмент;;;;;;;;;;
;Кандидаты;;;;;;;;;;;;;
;Иванова;0.007266414;45.47186501;*;11;;;;;;;;;
;Романова;0.003483146;21.79687615;*;10;;;;;;;;;
;Ковтун;0.003129925;19.58648416;5;9;;;;;;;;;
;Вайсблат;0.002472989;15.47550596;8;8;;;;;;;;;
;Гапонова;0.002117729;13.25235393;8;7;;;;;;;;;
;Коршунов;0.002116413;13.24411704;*;6;;;;;;;;;
;Смельцова;0.002082413;13.0313543;4;5;;;;;;;;;
;Панченко;0.001852503;11.59261685;7;4;;;;;;;;;
;Шпилев;0.001785938;11.17606705;6;3;;;;;;;;;
;Лапидус;0.001772365;11.09112866;8;2;;;;;;;;;
;Михеева;0.00172166;10.77382989;7;1;;;;;;;;;
;;;;;;;;;;;;;;
4;Название статьи;Смена парадигмы мирового развития и становление сетевой экономики;;;;;;;;;;;;
