1;Название статьи;;;Индустриальная политика: Сотрудничество России и Белоруссии.;;;;;;;;;;
;Автор;Сухарев;;;Тематика;Экономическая политика;;;;;;;;
;Вайсблат;0.000485097;7;p://www.hse.ru/org/persons/201761;экономика;0.001862653;10;;;;Author;Category;Author;Category
;Романова;0.000373888;1;p://www.hse.ru/org/persons/34959567;рынок;0.001047657;8;;;MIN;0.000205284;0.000254285;29%;12%
;Захаров;0.000360628;7;p://www.hse.ru/org/persons/445221;развитие;0.00101605;7;;;MAX;0.000697235;0.002127636;100%;100%
;Ковтун;0.000346448;3;p://www.hse.ru/org/persons/140380;право;0.000965812;2;;;;;;;
;Панченко;0.000338008;1;p://www.hse.ru/org/persons/201866;риск-менеджмент;0.000808546;1;;Среднее;3.77;3.013333333;;;
;Кирюшин;0.000276673;10;p://www.hse.ru/org/persons/10633269;пособие;0.00065332;1;;;;;;;
;Удалова;0.000267632;5;p://www.hse.ru/org/persons/36170051;образование;0.000572658;1;;;;;;;
;Гапонова;0.000259999;10;p://www.hse.ru/org/persons/24955025;управление;0.000523675;8;;;;;;;
;Лапидус;0.000239081;7;p://www.hse.ru/org/persons/201704;персонал;0.00030175;1;;;;;;;
;Миркин;0.000214329;5;p://www.hse.ru/org/persons/3954058;политика;0.000298907;7;;;;;;;
;;;;;;;;;;;;;;
2;Название статьи;США vs Россия: Новая холодная война;;;;;;;;;;;;
;Автор;Дашичев;;;Тематика;Политика/Внешняя политика;;;;;;;;
;Вайсблат;0.000607241;5;p://www.hse.ru/org/persons/201761;экономика;0.00175925;7;;;;;;;
;Панченко;0.000500259;1;p://www.hse.ru/org/persons/201866;право;0.001447524;8;;;;;;;
;Романова;0.000422213;1;p://www.hse.ru/org/persons/34959567;развитие;0.001005046;7;;;;;;;
;Захаров;0.000345993;3;p://www.hse.ru/org/persons/445221;рынок;0.000981799;6;;;;;;;
;Макарейко;0.000327289;8;p://www.hse.ru/org/persons/437342;риск-менеджмент;0.000660314;1;;;;;;;
;Ковтун;0.000326204;8;p://www.hse.ru/org/persons/140380;пособие;0.000533547;1;;;;;;;
;Михеева;0.000266331;8;p://www.hse.ru/org/persons/201844;образование;0.000494242;1;;;;;;;
;Голованова;0.00025472;5;p://www.hse.ru/org/persons/189995;управление;0.000399543;7;;;;;;;
;Тенилова;0.000243398;8;p://www.hse.ru/org/persons/13426671;перевод;0.000382181;1;;;;;;;
;Сибирцева;0.000237574;1;p://www.hse.ru/org/persons/201585;персонал;0.000371387;1;;;;;;;
;;;;;;;;;;;;;;
3;Название статьи;Корпоративное взаимодействие в целях модернизации. Россия ? Украина ? ЕС.;;;;;;;;;;;;
;Автор;Хейфец;;;Тематика;Международная политика/Экономика/Менеджмент;;;;;;;;
;Романова;0.000414017;1;p://www.hse.ru/org/persons/34959567;экономика;0.00170119;8;;;;;;;
;Вайсблат;0.000389479;7;p://www.hse.ru/org/persons/201761;право;0.001109454;5;;;;;;;
;Захаров;0.000366442;7;p://www.hse.ru/org/persons/445221;рынок;0.001000366;8;;;;;;;
;Ковтун;0.000366229;7;p://www.hse.ru/org/persons/140380;развитие;0.000943325;6;;;;;;;
;Панченко;0.000360753;1;p://www.hse.ru/org/persons/201866;риск-менеджмент;0.000821537;1;;;;;;;
;Кирюшин;0.000266034;8;p://www.hse.ru/org/persons/10633269;пособие;0.000663818;1;;;;;;;
;Удалова;0.00026233;8;p://www.hse.ru/org/persons/36170051;образование;0.000610177;1;;;;;;;
;Гапонова;0.000233597;7;p://www.hse.ru/org/persons/24955025;управление;0.000440544;7;;;;;;;
;Макарейко;0.000225488;5;p://www.hse.ru/org/persons/437342;язык;0.000285787;1;;;;;;;
;Михеева;0.000212224;5;p://www.hse.ru/org/persons/201844;персонал;0.000284617;1;;;;;;;
;;;;;;;;;;;;;;
4;Название статьи;Смена парадигмы мирового развития и становление сетевой экономики;;;;;;;;;;;;
;Автор;Смородинская;;Экономика;Оценка;Место в списке;;;;;;;;
;Романова;0.000424099;1;p://www.hse.ru/org/persons/34959567;экономика;0.001348204;10;;;;;;;
;Панченко;0.000403817;1;p://www.hse.ru/org/persons/201866;право;0.001223942;3;;;;;;;
;Ковтун;0.000383669;3;p://www.hse.ru/org/persons/140380;рынок;0.000708383;7;;;;;;;
;Вайсблат;0.000365736;7;p://www.hse.ru/org/persons/201761;развитие;0.000682455;8;;;;;;;
;Захаров;0.000358393;8;p://www.hse.ru/org/persons/445221;управление;0.00061793;8;;;;;;;
;Гапонова;0.000281652;8;p://www.hse.ru/org/persons/24955025;риск-менеджмент;0.000555102;1;;;;;;;
;Миркин;0.00027032;1;p://www.hse.ru/org/persons/3954058;пособие;0.000448533;1;;;;;;;
;Лапидус;0.000254989;7;p://www.hse.ru/org/persons/201704;образование;0.000418155;1;;;;;;;
;Макарейко;0.00025131;6;p://www.hse.ru/org/persons/437342;бизнес-процесс;0.000319347;1;;;;;;;
;Кирюшин;0.00023159;8;p://www.hse.ru/org/persons/10633269;перевод;0.000311101;1;;;;;;;
;;;;;;;;;;;;;;
5;Название статьи;Программа социальных преобразований капиталистического общества Э. Фромма;;;;;;;;;;;;
;Автор;Кишлакова;;Тематика;Философия/Социология/Экономика;;;;;;;;;
;Панченко;0.000587027;3;p://www.hse.ru/org/persons/201866;право;0.002014172;7;;;;;;;
;Романова;0.00052048;3;p://www.hse.ru/org/persons/34959567;экономика;0.001186489;7;;;;;;;
;Вайсблат;0.000481004;7;p://www.hse.ru/org/persons/201761;развитие;0.000880395;7;;;;;;;
;Ковтун;0.000441559;5;p://www.hse.ru/org/persons/140380;рынок;0.000813672;7;;;;;;;
;Макарейко;0.000430318;5;p://www.hse.ru/org/persons/437342;литература;0.000543415;1;;;;;;;
;Сибирцева;0.000358526;6;p://www.hse.ru/org/persons/201585;управление;0.00049204;6;;;;;;;
;Михеева;0.000305676;5;p://www.hse.ru/org/persons/201844;перевод;0.00048463;1;;;;;;;
;Тенилова;0.000270562;7;p://www.hse.ru/org/persons/13426671;свобода;0.000481967;2;;;;;;;
;Захаров;0.000258555;7;p://www.hse.ru/org/persons/445221;риск-менеджмент;0.000459805;1;;;;;;;
;Жужома;0.000255683;1;p://www.hse.ru/org/persons/46579220;модальность;0.000423506;1;;;;;;;
;;;;;;;;;;;;;;
6;Название статьи;Логико-философские проблемы в художественной литературе (на примере романа М. Булгакова ?Мастер и Маргарита?);;;;;;;;;;;;
;Автор;Ярощук;;Тематика;;;;;;;;;;
;Романова;0.00061035;10;p://www.hse.ru/org/persons/34959567;право;0.001690857;1;;;;;;;
;Панченко;0.000522098;7;p://www.hse.ru/org/persons/201866;экономика;0.000899077;1;;;;;;;
;Ковтун;0.000435054;5;p://www.hse.ru/org/persons/140380;перевод;0.000510332;3;;;;;;;
;Макарейко;0.000373856;1;p://www.hse.ru/org/persons/437342;литература;0.000500597;10;;;;;;;
;Сибирцева;0.000339299;10;p://www.hse.ru/org/persons/201585;свобода;0.000443991;1;;;;;;;
;Вайсблат;0.000338029;1;p://www.hse.ru/org/persons/201761;управление;0.000421558;1;;;;;;;
;Михеева;0.000285275;3;p://www.hse.ru/org/persons/201844;рынок;0.000402238;1;;;;;;;
;Тенилова;0.000281307;1;p://www.hse.ru/org/persons/13426671;развитие;0.000395301;1;;;;;;;
;Захаров;0.000271938;1;p://www.hse.ru/org/persons/445221;модальность;0.000390137;5;;;;;;;
;Цветкова;0.000263146;10;p://www.hse.ru/org/persons/35038112;текст;0.000385887;9;;;;;;;
;;;;;;;;;;;;;;
7;Название статьи;Общероссийский народный фронт: сущность и перспективы;;;;;;;;;;;;
;Автор;Калиш. Назарова;;Тематика;Политика;;;;;;;;;
;Панченко;0.000541056;3;p://www.hse.ru/org/persons/201866;право;0.001598818;8;;;;;;;
;Романова;0.00049843;3;p://www.hse.ru/org/persons/34959567;экономика;0.001302322;2;;;;;;;
;Ковтун;0.000430611;8;p://www.hse.ru/org/persons/140380;рынок;0.000706842;1;;;;;;;
;Вайсблат;0.000351413;3;p://www.hse.ru/org/persons/201761;развитие;0.000687228;7;;;;;;;
;Макарейко;0.000335463;8;p://www.hse.ru/org/persons/437342;риск-менеджмент;0.000542365;1;;;;;;;
;Сибирцева;0.00027962;3;p://www.hse.ru/org/persons/201585;пособие;0.000438241;1;;;;;;;
;Михеева;0.000257366;8;p://www.hse.ru/org/persons/201844;образование;0.000431263;1;;;;;;;
;Гапонова;0.00025402;3;p://www.hse.ru/org/persons/24955025;литература;0.000400963;1;;;;;;;
;Захаров;0.000245269;3;p://www.hse.ru/org/persons/445221;перевод;0.000400879;1;;;;;;;
;Цветкова;0.000232883;6;p://www.hse.ru/org/persons/35038112;свобода;0.000355623;7;;;;;;;
;;;;;;;;;;;;;;
8;Название статьи;Суфизм ? гуманистическое течение в исламе;;;;;;;;;;;;
;Автор;Маматов;;Тематика;Религия/Философия;;;;;;;;;
;Романова;0.000535644;5;p://www.hse.ru/org/persons/34959567;право;0.001621305;4;;;;;;;
;Панченко;0.000495156;5;p://www.hse.ru/org/persons/201866;экономика;0.001199826;1;;;;;;;
;Вайсблат;0.000446342;3;p://www.hse.ru/org/persons/201761;развитие;0.000756066;1;;;;;;;
;Ковтун;0.000424526;7;p://www.hse.ru/org/persons/140380;рынок;0.000708888;1;;;;;;;
;Макарейко;0.000346487;3;p://www.hse.ru/org/persons/437342;управление;0.000465095;1;;;;;;;
;Захаров;0.000301086;3;p://www.hse.ru/org/persons/445221;риск-менеджмент;0.00042077;1;;;;;;;
;Сибирцева;0.000267841;5;p://www.hse.ru/org/persons/201585;литература;0.000386724;8;;;;;;;
;Тенилова;0.000262622;3;p://www.hse.ru/org/persons/13426671;перевод;0.000377657;3;;;;;;;
;Михеева;0.00024509;7;p://www.hse.ru/org/persons/201844;образование;0.000371242;3;;;;;;;
;Цветкова;0.000220834;8;p://www.hse.ru/org/persons/35038112;свобода;0.000342994;4;;;;;;;
;;;;;;;;;;;;;;
